"SITE","NOME","X","Y","ILLUMINATION","VINES","DM97","DM98","DM99","DM00","DM01","DM02","DM03","DM04","DM05","DM06","DM07","DM08","DM09","INC9597","INC9798","INC9899","INC9900","INC0001","INC0102","INC0203","INC0304","INC0405","INC0506","INC0607","INC0708","INC0809","FRT97","FRT98","FRT99","FRT00","FRT01","FRT02","FRT03","FRT04","FRT05","FRT06","FRT07","FRT08","FRT09"
"MR",10701,2405,-310,4,1,42.1,43.2,44.2,45.7,47.3,48.6,50.1,51.6,52.7,53.8,54.7,55.7,56.8,1.7,1.1,1,1.5,1.6,1.3,1.45,1.5,1.1,1.15,0.85,1.05,1.1,NA,7,0,12,1,6,12,7,44,21,19,9,8
"MR",39,2440,-198,3,1,23.5,24.2,24.8,25.9,26.8,27.7,28.3,29.3,30.1,31.1,31.7,32.4,33.3,0.9,0.7,0.6,1.05,0.9,0.9,0.65,1,0.8,0.95,0.6,0.75,0.85,NA,0,3,0,0,0,1,0,0,0,0,0,0
"MR",40,2613,-202,2,0,41.5,42.7,43.8,44.9,46.3,47.2,48.3,49.3,50.3,51.4,51.8,52.3,53.5,1.2,1.2,1.05,1.1,1.45,0.9,1.1,1,1,1.05,0.45,0.45,1.25,4,9,4,14,3,23,2,1,4,3,5,1,3
"MR",10702,2628,-167,1,2,43.3,43.5,43.4,43.6,43.6,43.6,43.5,43.4,43.4,43.3,NA,NA,NA,NA,0.15,-0.05,0.15,0,0,-0.1,-0.05,0,-0.1,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"MR",35,2183,-17,3,0,42.9,43.8,44.8,46.3,47.7,48.8,49.8,50.7,51.2,51.5,51.9,52.3,52.7,NA,0.85,1,1.5,1.45,1.05,1.05,0.85,0.55,0.3,0.35,0.4,0.4,NA,0,0,0,0,4,2,1,6,6,2,2,1
"MR",32,2261,29,3,0,35.1,35.6,36,36.8,37.7,38.2,38.7,39.5,39.8,40.2,40.5,40.6,41.5,0.3,0.45,0.4,0.8,0.95,0.45,0.55,0.75,0.3,0.4,0.3,0.1,0.95,NA,1,0,2,1,2,1,0,6,0,3,2,1
"MR",33,2330,5,0,0,27.9,28.2,28.2,28.6,28.9,29.2,29.3,29.6,29.7,29.7,30,30,30.1,0.3,0.25,0,0.4,0.35,0.25,0.1,0.3,0.15,0,0.25,0.05,0.1,NA,0,0,0,0,0,0,0,0,0,0,0,0
"MR",10801,2398,55,2,3,26.3,26.8,27.5,29.3,30.7,32.1,33.7,35.5,36.6,38,38.9,40,41.8,1,0.5,0.7,1.75,1.4,1.45,1.55,1.8,1.1,1.4,0.95,1.05,1.8,NA,0,0,0,0,0,0,0,0,0,0,0,0
"MR",10802,2419,-6,4,0,23.4,24.8,25.8,27.5,29.5,31.1,32.2,33.5,34.6,36,37.2,38.2,40.1,NA,1.35,1.05,1.65,2.05,1.55,1.1,1.3,1.1,1.4,1.25,1,1.85,0,0,0,0,0,0,0,0,14,0,1,16,0
"MR",10803,2538,0,3,0,21.3,22.6,24.1,25.6,27.5,28.5,29.4,30.1,30.6,31.3,31.6,32,33.1,NA,1.3,1.5,1.45,1.9,1.05,0.85,0.7,0.5,0.7,0.35,0.4,1.05,NA,0,0,0,0,0,0,0,0,0,0,0,0
"MR",10804,2726,55,3,3,NA,47.5,48,48.9,50.2,51,51.9,53,54.1,55.1,55.9,55.9,56,NA,NA,0.5,0.9,1.25,0.85,0.9,1.1,1.1,1,0.8,0,0.05,NA,0,4,5,0,50,18,2,3,1,33,0,0
"MR",10806,2744,79,3,3,NA,63.9,64.2,64.5,64.7,65,65.3,65.9,65.9,NA,NA,NA,NA,NA,NA,0.25,0.3,0.2,0.35,0.25,0.6,0.05,NA,NA,NA,NA,NA,0,0,1,0,1,1,0,0,NA,NA,NA,NA
"MR",10805,2784,46,3,3,NA,45.4,45.4,45.5,45.5,45.6,45.7,NA,NA,NA,NA,NA,NA,NA,NA,0,0.1,0,0.05,0.15,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,1,0,NA,NA,NA,NA,NA,NA
"MR",34,2857,14,1,0,27.3,27.6,27.7,28.1,28.6,29.1,29.7,30.3,30.7,31.4,32.1,32.4,33.3,0.4,0.25,0.1,0.4,0.5,0.55,0.55,0.65,0.35,0.7,0.7,0.3,0.95,NA,0,0,1,0,2,0,3,2,0,1,0,3
"MR",31,2316,211,4,0,48.1,49.1,49.1,49.6,50,50.5,50.7,50.9,51,51.4,51.7,51.8,52.8,1.36,0.95,0,0.55,0.4,0.5,0.2,0.15,0.15,0.35,0.3,0.1,1.05,0,8,0,0,0,1,0,0,0,0,4,0,0
"MR",10901,2642,248,3,2,NA,25.6,27.1,28.8,30.6,32.5,34.2,36.3,37.7,39.4,41.2,42.3,44.2,NA,NA,1.45,1.75,1.75,1.9,1.7,2.1,1.45,1.7,1.75,1.1,1.9,NA,0,0,0,0,0,1,0,5,0,1,3,0
"MR",10902,2681,95,2,1,NA,20.5,20.9,21.5,22.4,23.3,23.9,24.7,25.6,NA,NA,NA,NA,NA,NA,0.35,0.65,0.85,0.95,0.6,0.75,0.9,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"MR",27,2161,401,4,1,39.7,40.7,41.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,1,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MR",28,2346,438,4,1,73.2,74.1,75.2,76.2,77.3,78.3,79.4,80.5,81.5,81.8,82.2,82.9,83.8,0.59,0.85,1.15,1,1.05,1,1.15,1.1,0.95,0.3,0.4,0.75,0.85,13,5,5,11,9,12,12,4,15,0,2,1,1
"MR",29,2441,406,4,0,70.2,70.9,71.1,71.6,72.5,73.2,74,74.7,75,NA,NA,NA,NA,NA,0.64,0.2,0.55,0.9,0.65,0.85,0.7,0.25,NA,NA,NA,NA,0,2,0,2,1,12,0,1,6,NA,NA,NA,NA
